Location,Property_Type,Bedrooms,Bathrooms,Size_SQM,Amenities,Price_KES,Listing_Type,Listing_Date,Price_Per_SQM,Amenity_Score,Listing_Month,Distance_to_CBD_KM
Acacia,House,1,1,50,"Security, Parking",15000000,For Sale,2025-12-06,300000.0,2,12,10.0
Fourways Junction Estate,Apartment,3,2,120,"Security, Parking",70000,For Rent,2026-01-29,583.3333333333334,2,1,10.0
A 70,Townhouse,5,5,250,"Security, Parking",68000000,For Sale,2025-12-03,272000.0,2,12,10.0
Runda,Townhouse,4,4,180,"Security, Parking",29500000,For Sale,2025-11-28,163888.88888888888,2,11,9.8
Kileleshwa,Townhouse,5,5,250,"Security, Parking",350000000,For Sale,2026-02-03,1400000.0,2,2,4.2
Tinderet Ave. Off Gatundu Rd,Apartment,3,4,120,"Security, Parking",85000,For Rent,2026-01-16,708.3333333333334,2,1,10.0
Westlands,Apartment,2,2,80,"Security, Parking",59000,For Rent,2026-01-01,737.5,2,1,5.2
Juja,House,3,3,120,"Security, Parking",6750000,For Sale,2025-12-27,56250.0,2,12,10.0
Thigiri,Townhouse,4,4,180,"Security, Parking",140000000,For Sale,2025-12-23,777777.7777777778,2,12,10.0
Syokimau,House,3,3,120,"Security, Parking",12500000,For Sale,2025-12-18,104166.66666666667,2,12,18.5
Kileleshwa,Apartment,3,3,4047,"Security, Parking",95000,For Rent,2026-01-26,23.474178403755868,2,1,4.2
Galu Beach,Villa,4,4,180,"Security, Parking",65000000,For Sale,2025-11-27,361111.1111111111,2,11,10.0
Westlands,Apartment,3,3,120,"Security, Parking",140000,For Rent,2025-12-24,1166.6666666666667,2,12,5.2
Westlands,Apartment,1,1,50,"Security, Parking",110000,For Rent,2026-02-01,2200.0,2,2,5.2
Lower Kabete,House,5,5,250,"Security, Parking",100000000,For Sale,2026-01-26,400000.0,2,1,10.0
Riverside,Apartment,2,2,130,"Security, Parking",130000,For Rent,2025-12-16,1000.0,2,12,2.5
Parklands,Apartment,3,3,120,"Security, Parking",120000,For Rent,2026-01-23,1000.0,2,1,4.8
Nairobi,House,9,9,250,"Security, Parking",200000000,For Sale,2025-12-08,800000.0,2,12,10.0
Nairobi,House,4,4,180,"Security, Parking",6200000,For Sale,2025-12-23,34444.444444444445,2,12,10.0
Parklands,Apartment,3,3,120,"Security, Parking",200000,For Rent,2025-12-15,1666.6666666666667,2,12,4.8
Diani,Villa,2,2,80,"Security, Parking",45000000,For Sale,2026-01-28,562500.0,2,1,10.0
Lavington,Townhouse,5,5,250,"Security, Parking",48000000,For Sale,2026-01-28,192000.0,2,1,4.5
Nyali,Apartment,3,4,2860,"Security, Parking",120000,For Rent,2026-01-25,41.95804195804196,2,1,10.0
Kisumu Road,Apartment,3,3,120,"Security, Parking",33500,For Rent,2025-12-07,279.1666666666667,2,12,10.0
Riverside,Apartment,3,4,120,"Security, Parking",150000,For Rent,2025-12-19,1250.0,2,12,2.5
Kitisuru,House,5,5,250,"Security, Parking",100000000,For Sale,2026-02-05,400000.0,2,2,10.2
Nairobi,Apartment,3,4,120,"Security, Parking",100000,For Rent,2025-12-10,833.3333333333334,2,12,10.0
Karen,House,4,4,180,"Security, Parking",75000000,For Sale,2026-01-18,416666.6666666667,2,1,13.5
Runda,House,4,4,180,"Security, Parking",46000000,For Sale,2025-11-25,255555.55555555556,2,11,9.8
Loresho,Townhouse,4,4,180,"Security, Parking",41000000,For Sale,2026-02-02,227777.77777777778,2,2,7.5
Mtwapa Weigh Bridge,House,3,3,120,"Security, Parking",7500000,For Sale,2025-12-25,62500.0,2,12,10.0
Kilimani,Apartment,3,2,120,"Security, Parking",100000,For Rent,2026-01-01,833.3333333333334,2,1,3.8
Parklands,Apartment,3,2,120,"Security, Parking",140000,For Rent,2026-01-10,1166.6666666666667,2,1,4.8
Riverside,Apartment,2,2,80,"Security, Parking",130000,For Rent,2026-02-05,1625.0,2,2,2.5
Naivasha Road,Apartment,2,2,80,"Security, Parking",40000,For Rent,2026-01-06,500.0,2,1,10.0
Kilimani,Apartment,3,2,120,"Security, Parking",70000,For Rent,2025-12-07,583.3333333333334,2,12,3.8
Karen,House,5,5,250,"Security, Parking",59000000,For Sale,2025-11-25,236000.0,2,11,13.5
Kileleshwa,Apartment,4,5,300,"Security, Parking",140000,For Rent,2025-12-04,466.6666666666667,2,12,4.2
George Padmore Lane,Apartment,1,1,50,"Security, Parking",65000,For Rent,2025-11-23,1300.0,2,11,10.0
Bamburi,Townhouse,4,4,180,"Security, Parking",16500000,For Sale,2025-12-23,91666.66666666667,2,12,10.0
Lavington,Apartment,2,2,80,"Security, Parking",165000,For Rent,2025-12-07,2062.5,2,12,4.5
Kaputei Road,Townhouse,5,5,250,"Security, Parking",55000000,For Sale,2026-01-18,220000.0,2,1,10.0
Imara Daima,Apartment,3,2,120,"Security, Parking",50000,For Rent,2025-12-27,416.6666666666667,2,12,10.0
Kileleshwa,Apartment,3,2,120,"Security, Parking",70000,For Rent,2026-01-16,583.3333333333334,2,1,4.2
Argwings Kodhek,Apartment,3,4,230,"Security, Parking",165000,For Rent,2025-12-29,717.3913043478261,2,12,10.0
Nairobi,House,4,4,180,"Security, Parking",38500000,For Sale,2025-12-05,213888.88888888888,2,12,10.0
Lavington,House,4,4,180,"Security, Parking",48000000,For Sale,2026-01-27,266666.6666666667,2,1,4.5
Kitisuru,House,6,6,250,"Security, Parking",110000000,For Sale,2026-02-15,440000.0,2,2,10.2
Kileleshwa,Apartment,3,3,120,"Security, Parking",86000,For Rent,2025-12-01,716.6666666666666,2,12,4.2
Athi River,Villa,4,4,180,"Security, Parking",13000000,For Sale,2026-02-01,72222.22222222222,2,2,10.0
Westlands,Apartment,3,3,120,"Security, Parking",120000,For Rent,2025-11-22,1000.0,2,11,5.2
Kiambu Road,House,4,4,180,"Security, Parking",88000000,For Sale,2026-02-09,488888.8888888889,2,2,8.8
Arwings Kodheck,Apartment,2,2,125,"Security, Parking",75000,For Rent,2026-01-04,600.0,2,1,10.0
Parklands,Apartment,3,3,120,"Security, Parking",100000,For Rent,2026-01-20,833.3333333333334,2,1,4.8
Muringa Groove,Apartment,3,2,120,"Security, Parking",70000,For Rent,2026-02-03,583.3333333333334,2,2,10.0
Kiambu Rd,Apartment,3,3,120,"Security, Parking",50000,For Rent,2025-12-09,416.6666666666667,2,12,10.0
Westlands,Apartment,3,3,120,"Security, Parking",90000,For Rent,2026-01-06,750.0,2,1,5.2
Syokimau,House,4,4,180,"Security, Parking",15500000,For Sale,2026-02-08,86111.11111111111,2,2,18.5
Fourways Junction Estate,House,4,4,180,"Security, Parking",30000000,For Sale,2026-01-10,166666.66666666666,2,1,10.0
Tudor,House,5,5,250,"Security, Parking",58000000,For Sale,2026-01-06,232000.0,2,1,10.0
Parklands,Apartment,3,3,120,"Security, Parking",120000,For Rent,2025-11-29,1000.0,2,11,4.8
Ruaka,Apartment,3,3,120,"Security, Parking",60000,For Rent,2025-12-30,500.0,2,12,12.3
Tigoni,Villa,3,3,120,"Security, Parking",50000000,For Sale,2026-01-11,416666.6666666667,2,1,10.0
Dennis Pritt,Apartment,3,4,120,"Security, Parking",120000,For Rent,2025-12-07,1000.0,2,12,10.0
Kileleshwa,Apartment,3,4,23,"Security, Parking",120000,For Rent,2026-01-18,5217.391304347826,2,1,4.2
Riverside,Apartment,1,1,50,"Security, Parking",140000,For Rent,2025-12-05,2800.0,2,12,2.5
Kilimani,Apartment,2,2,80,"Security, Parking",140000,For Rent,2025-12-18,1750.0,2,12,3.8
Runda,House,5,5,250,"Security, Parking",230000000,For Sale,2026-02-02,920000.0,2,2,9.8
Parklands,House,4,4,180,"Security, Parking",69500000,For Sale,2026-01-02,386111.1111111111,2,1,4.8
Loresho,Townhouse,4,4,180,"Security, Parking",38000000,For Sale,2026-01-26,211111.11111111112,2,1,7.5
Langata,House,3,3,120,"Security, Parking",28000000,For Sale,2025-12-18,233333.33333333334,2,12,11.3
Jamhuri Phase 1,Townhouse,3,3,120,"Security, Parking",16200000,For Sale,2025-11-28,135000.0,2,11,10.0
Kiambu Road,House,4,4,180,"Security, Parking",32500000,For Sale,2026-01-22,180555.55555555556,2,1,8.8
Kileleshwa,Apartment,3,3,120,"Security, Parking",75000,For Rent,2026-02-10,625.0,2,2,4.2
Kilimani,Apartment,1,1,50,"Security, Parking",80000,For Rent,2026-01-31,1600.0,2,1,3.8
Westlands,Apartment,4,4,180,"Security, Parking",150000,For Rent,2026-02-05,833.3333333333334,2,2,5.2
Westlands,Apartment,1,1,50,"Security, Parking",120000,For Rent,2025-12-27,2400.0,2,12,5.2
Othaya,Apartment,1,1,50,"Security, Parking",120000,For Rent,2025-11-22,2400.0,2,11,10.0
A104,House,4,4,180,"Security, Parking",38500000,For Sale,2025-12-22,213888.88888888888,2,12,10.0
Off Rhapta Road,Apartment,3,2,120,"Security, Parking",75000,For Rent,2025-12-23,625.0,2,12,10.0
Riverside,Apartment,3,3,120,"Security, Parking",115000,For Rent,2025-12-20,958.3333333333334,2,12,2.5
