Location,Property_Type,Bedrooms,Bathrooms,Size_SQM,Amenities,Price_KES,Listing_Type,Listing_Date
Acacia,House,1,1,0,"Security, Parking",15000000,For Sale,2025-12-06
South B,Apartment,0,1,35,"Security, Parking",0,For Sale,2025-12-27
Kizingoni Beach,House,5,5,0,"Security, Parking",0,For Sale,2026-01-24
Fourways Junction Estate,Apartment,3,2,120,"Security, Parking",70000,For Rent,2026-01-29
A 70,Townhouse,5,5,0,"Security, Parking",68000000,For Sale,2025-12-03
Parklands,Apartment,0,1,35,"Security, Parking",0,For Sale,2025-12-25
Runda,Townhouse,4,4,0,"Security, Parking",29500000,For Sale,2025-11-28
Kileleshwa,Townhouse,5,5,0,"Security, Parking",350000000,For Sale,2026-02-03
Tinderet Ave. Off Gatundu Rd,Apartment,3,4,3,"Security, Parking",85000,For Rent,2026-01-16
Rhapta road,Apartment,2,2,2,"Security, Parking",59000,For Rent,2026-01-01
Juja,House,3,3,0,"Security, Parking",6750000,For Sale,2025-12-27
Thigiri,Townhouse,4,4,0,"Security, Parking",140000000,For Sale,2025-12-23
Langata,Apartment,0,1,35,"Security, Parking",0,For Sale,2025-12-27
Syokimau,House,3,3,0,"Security, Parking",12500000,For Sale,2025-12-18
Riverside,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-01-22
Kileleshwa,Apartment,0,1,0,"Security, Parking",0,For Sale,2026-02-01
Kileleshwa,Apartment,3,3,4047,"Security, Parking",95000,For Rent,2026-01-26
Galu Beach,Villa,4,4,0,"Security, Parking",65000000,For Sale,2025-11-27
Kilimani,Apartment,0,1,35,"Security, Parking",0,For Sale,2025-11-30
Westlands,Apartment,3,3,3,"Security, Parking",140000,For Rent,2025-12-24
Westlands Area,Apartment,1,1,1,"Security, Parking",110000,For Rent,2026-02-01
Lower Kabete,House,5,5,0,"Security, Parking",100000000,For Sale,2026-01-26
Riverside Drive,Apartment,2,2,130,"Security, Parking",130000,For Rent,2025-12-16
General Mathenge,Apartment,3,3,3,"Security, Parking",120000,For Rent,2026-01-23
44,House,9,9,0,"Security, Parking",200000000,For Sale,2025-12-08
Estate,House,4,4,0,"Security, Parking",6200000,For Sale,2025-12-23
General Mathenge,Apartment,3,3,3,"Security, Parking",200000,For Rent,2025-12-15
Diani,Villa,2,2,0,"Security, Parking",45000000,For Sale,2026-01-28
Lavington,Townhouse,5,5,0,"Security, Parking",48000000,For Sale,2026-01-28
South B,Apartment,0,1,35,"Security, Parking",0,For Rent,2026-02-05
Nyali,Apartment,3,4,2860,"Security, Parking",120000,For Rent,2026-01-25
Kisumu Road,Apartment,3,3,3,"Security, Parking",33500,For Rent,2025-12-07
Riverside,Apartment,3,4,3,"Security, Parking",150000,For Rent,2025-12-19
Kitisuru,House,5,5,0,"Security, Parking",100000000,For Sale,2026-02-05
2242,Apartment,3,4,3,"Security, Parking",100000,For Rent,2025-12-10
South C,Apartment,0,1,35,"Security, Parking",0,For Sale,2025-12-31
Ruaka,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-01-07
Karen,House,4,4,0,"Security, Parking",75000000,For Sale,2026-01-18
Runda,House,4,4,0,"Security, Parking",46000000,For Sale,2025-11-25
Loresho,Townhouse,4,4,0,"Security, Parking",41000000,For Sale,2026-02-02
Mtwapa Weigh bridge,House,3,3,0,"Security, Parking",7500000,For Sale,2025-12-25
kilimani,Apartment,3,2,3,"Security, Parking",100000,For Rent,2026-01-01
General Mathenge,Apartment,3,2,3,"Security, Parking",140000,For Rent,2026-01-10
Riverside,Apartment,2,2,2,"Security, Parking",130000,For Rent,2026-02-05
Syokimau,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-01-05
Naivasha Road,Apartment,2,2,2,"Security, Parking",40000,For Rent,2026-01-06
kilimani,Apartment,3,2,3,"Security, Parking",70000,For Rent,2025-12-07
Karen,House,5,5,0,"Security, Parking",59000000,For Sale,2025-11-25
Kileleshwa,Apartment,4,5,300,"Security, Parking",140000,For Rent,2025-12-04
George Padmore lane,Apartment,1,1,1,"Security, Parking",65000,For Rent,2025-11-23
Parklands,Apartment,0,1,35,"Security, Parking",0,For Rent,2025-12-15
0721p,House,3,3,0,"Security, Parking",684000000,For Sale,2026-01-09
Bamburi,Townhouse,4,4,0,"Security, Parking",16500000,For Sale,2025-12-23
Lavington,Apartment,2,2,2,"Security, Parking",165000,For Rent,2025-12-07
Upperhill,Apartment,0,1,35,"Security, Parking",0,For Rent,2026-02-17
Thika Road,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-02-09
Kaputei Road,Townhouse,5,5,0,"Security, Parking",55000000,For Sale,2026-01-18
Imara Daima,Apartment,3,2,3,"Security, Parking",50000,For Rent,2025-12-27
kileleshwa,Apartment,3,2,3,"Security, Parking",70000,For Rent,2026-01-16
Argwings Kodhek,Apartment,3,4,230,"Security, Parking",165000,For Rent,2025-12-29
Nairobi,House,4,4,0,"Security, Parking",38500000,For Sale,2025-12-05
Lavington,House,4,4,0,"Security, Parking",48000000,For Sale,2026-01-27
Kitisuru,House,6,6,0,"Security, Parking",110000000,For Sale,2026-02-15
Kileleshwa,Apartment,3,3,3,"Security, Parking",86000,For Rent,2025-12-01
Athi River,Villa,4,4,0,"Security, Parking",13000000,For Sale,2026-02-01
Rongai,Apartment,0,1,35,"Security, Parking",0,For Rent,2025-12-23
Westlands Area,Apartment,3,3,3,"Security, Parking",120000,For Rent,2025-11-22
Kitisuru,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-01-01
Kiambu road,House,4,4,0,"Security, Parking",88000000,For Sale,2026-02-09
Arwings Kodheck,Apartment,2,2,125,"Security, Parking",75000,For Rent,2026-01-04
General Mathenge,Apartment,3,3,3,"Security, Parking",100000,For Rent,2026-01-20
